sample,fastq_1,fastq_2
test1,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/006/ERR13362006/ERR13362006_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/006/ERR13362006/ERR13362006_2.fastq.gz
test2,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR289/023/SRR28979523/SRR28979523_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR289/023/SRR28979523/SRR28979523_2.fastq.gz
